39089                    15-Dec-11
1023821|041333213019     
1023821|2000010238217    
1023821|413332130190     
1023823|2000010238231    
1023823|9312931530015    
1023825|041333214016     
1023825|2000010238255    
1023825|413332140168     
1023828|2000010238286    
1023828|8888021200119    
1023833|2000010238330    
1023833|8888021200126    
1023833|9556500900780    
1023835|2000010238354    
1023835|413334150172     
1023835|4891259324100    
1023835|9556149020986    
1023837|2000010238378    
1023837|8888021200256    
1023837|8888021201628    
1023837|8888021202113    
1023837|8888021202830    
1023837|9556500900629    
1023837|9556500901091    
1023839|041333825014     
1023839|2000010238392    
1023839|413338250144     
1023839|4891259950811    
1023839|8888826021254    
1023839|9556149020818    
1023841|2000010238415    
1023841|8888021200157    
1023843|041333116013     
1023843|2000010238439    
1023843|413331160136     
1023845|2000010238453    
1023845|8888021200164    
1023845|9556500901039    
1023847|041333224015     
1023847|2000010238477    
1023847|413332240158     
1023847|4891259522100    
1023847|9556149016408    
1023849|2000010238491    
1023849|8888021200133    
1023851|041333424019     
1023851|2000010238514    
1023851|413334240194     
1023851|4891259524104    
1023851|9300627503870    
1023851|9556149014954    
1023851|9556149017368    
1023851|9556149020993    
1023853|2000010238538    
1023853|8888021200140    
1023857|2000010238576    
1023857|8888021200171    
1023863|2000010238637    
1023863|8888021300079    
1023881|2000010238811    
1023881|9556500000015    
1023881|9556500900049    
1023881|9556500901404    
1023885|2000010238859    
1023885|8888021100044    
1023887|2000010238873    
1023887|8888021100013    
1023887|9556500000428    
1023887|9556500002156    
1023887|9556500901978    
1023889|2000010238897    
1023889|9556500000893    
1023889|9556500900896    
1023893|2000010238934    
1023893|8888021100174    
1023895|2000010238958    
1023895|9556500000084    
1023895|9556500002286    
1023911|2000010239115    
1023911|8888021100617    
1023911|9556500001593    
1023911|9556500900568    
1031127|2000010311279    
1031127|24640022         
1034107|2000010341078    
1034107|24210256         
1034107|9556862183753    
1034107|9556862183784    
1034117|2000010341177    
1034117|9556862183777    
1034128|2000010341283    
1034128|24211000         
1034128|9556862184217    
1034191|2000010341917    
1034191|24210799         
1034191|9556862313020    
1034265|2000010342655    
1034265|24240024         
1034265|9557589006332    
1034278|2000010342785    
1034278|24241007         
1034278|9557589006004    
1034286|2000010342860    
1034286|24240468         
1034319|10343197         
1034319|2000010343195    
1034342|2000010343423    
1034342|24250481         
1034431|2000010344314    
1034435|2000010344352    
1034435|24250122         
1034514|2000010345144    
1034514|9555071301224    
1034514|9555071301231    
1034521|2000010345212    
1034521|9555071301507    
1034521|9555071301514    
1034521|9555071301521    
1034521|9555071301538    
1034526|2000010345267    
1034526|9555071301309    
1034526|9555071301316    
1034526|9555071301323    
1034526|9555071301330    
1034755|2000010347551    
1034888|2000010348886    
1034888|25630411         
1035321|2000010353217    
1035321|25820324         
1035321|4000885797107    
1035321|9312357836722    
1035329|2000010353293    
1035329|25820331         
1035329|4000885797800    
1035412|2000010354122    
1035412|25820256         
